"mean";"median";"sd";"best";"worst";"score"
5.44;6.26;2.77;0.02;12.5;NA
4.21;4.16;2.69;0.01;12.5;NA
3.2;2.7;2.74;0;12.5;NA
2.18;1.56;2.4;0;12.5;NA
1.55;0.74;2.43;0;12.5;NA
1.12;0.34;2.3;0;12.5;NA
0.94;0.2;2.42;0;12.5;NA
0.8;0.09;2.38;0;12.5;NA
0.77;0.05;2.42;0;12.5;NA
0.82;0.03;2.64;0;12.5;NA
0.78;0.01;2.47;0;12.5;NA
0.72;0.01;2.39;0;12.5;NA
0.76;0;2.48;0;12.5;NA
0.78;0;2.56;0;12.5;NA
0.69;0;2.47;0;12.5;NA
0.69;0;2.42;0;12.5;NA
0.76;0;2.47;0;12.5;NA
0.69;0;2.31;0;12.5;NA
0.83;0;2.71;0;12.5;NA
0.7;0;2.39;0;12.5;NA
0.66;0;2.28;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.7;0;2.38;0;12.5;NA
0.72;0;2.42;0;12.5;NA
0.81;0;2.7;0;12.5;NA
0.72;0;2.46;0;12.5;NA
0.72;0;2.45;0;12.5;NA
0.76;0;2.54;0;12.5;NA
0.7;0;2.37;0;12.5;NA
0.72;0;2.48;0;12.5;NA
0.8;0;2.66;0;12.5;NA
0.78;0;2.56;0;12.5;NA
0.7;0;2.34;0;12.5;NA
0.75;0;2.56;0;12.5;NA
0.78;0;2.58;0;12.5;NA
0.73;0;2.47;0;12.5;NA
0.74;0;2.5;0;12.5;NA
0.65;0;2.27;0;12.5;NA
0.71;0;2.39;0;12.5;NA
0.78;0;2.56;0;12.5;NA
0.82;0;2.67;0;12.5;NA
0.67;0;2.39;0;12.5;NA
0.76;0;2.52;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.74;0;2.39;0;12.5;NA
0.81;0;2.58;0;12.5;NA
0.74;0;2.35;0;12.5;NA
0.74;0;2.49;0;12.5;NA
0.68;0;2.41;0;12.5;NA
0.77;0;2.53;0;12.5;NA
0.76;0;2.52;0;12.5;NA
0.84;0;2.77;0;12.5;NA
0.66;0;2.24;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.71;0;2.41;0;12.5;NA
0.75;0;2.48;0;12.5;NA
0.77;0;2.59;0;12.5;NA
0.76;0;2.52;0;12.5;NA
0.77;0;2.55;0;12.5;NA
0.76;0;2.56;0;12.5;NA
0.66;0;2.25;0;12.5;NA
0.78;0;2.57;0;12.5;NA
0.74;0;2.48;0;12.5;NA
0.72;0;2.47;0;12.5;NA
0.72;0;2.44;0;12.5;NA
0.7;0;2.43;0;12.5;NA
0.72;0;2.41;0;12.5;NA
0.72;0;2.39;0;12.5;NA
0.74;0;2.53;0;12.5;NA
0.81;0;2.62;0;12.5;NA
0.75;0;2.47;0;12.5;NA
0.72;0;2.46;0;12.5;NA
0.77;0;2.55;0;12.5;NA
0.72;0;2.47;0;12.5;NA
0.72;0;2.49;0;12.5;NA
0.73;0;2.43;0;12.5;NA
0.72;0;2.54;0;12.5;NA
0.66;0;2.27;0;12.5;NA
0.78;0;2.59;0;12.5;NA
0.71;0;2.43;0;12.5;NA
0.76;0;2.59;0;12.5;NA
0.73;0;2.4;0;12.5;NA
0.8;0;2.61;0;12.5;NA
0.73;0;2.42;0;12.5;NA
0.75;0;2.45;0;12.5;NA
0.65;0;2.36;0;12.5;NA
0.8;0;2.64;0;12.5;NA
0.72;0;2.48;0;12.5;NA
0.67;0;2.27;0;12.5;NA
0.71;0;2.42;0;12.5;NA
0.78;0;2.61;0;12.5;NA
0.73;0;2.41;0;12.5;NA
0.77;0;2.54;0;12.5;NA
0.78;0;2.57;0;12.5;NA
0.78;0;2.57;0;12.5;NA
0.71;0;2.41;0;12.5;NA
0.78;0;2.64;0;12.5;NA
0.78;0;2.53;0;12.5;NA
0.78;0;2.6;0;12.5;NA
0.69;0;2.32;0;12.5;NA
