"mean";"median";"sd";"best";"worst";"score"
4.83;4.86;0.16;4.99;2.86;NA
4.88;4.9;0.1;4.99;3.83;NA
4.9;4.92;0.12;4.99;3.91;NA
4.92;4.94;0.09;4.99;3.82;NA
4.93;4.95;0.11;4.99;3.79;NA
4.94;4.96;0.08;5;3.93;NA
4.93;4.96;0.12;5;3.8;NA
4.94;4.97;0.11;5;3.79;NA
4.95;4.97;0.12;5;3.88;NA
4.95;4.97;0.1;5;3.86;NA
4.95;4.98;0.12;5;3.44;NA
4.95;4.98;0.12;5;3.75;NA
4.96;4.99;0.12;5;3.76;NA
4.96;4.99;0.13;5;3.55;NA
4.96;4.99;0.13;5;2.95;NA
4.96;4.99;0.12;5;3.81;NA
4.96;4.99;0.12;5;3.82;NA
4.96;5;0.15;5;3.63;NA
4.97;5;0.08;5;4.43;NA
4.97;5;0.12;5;3.78;NA
4.97;5;0.15;5;2.49;NA
4.97;5;0.12;5;3.61;NA
4.97;5;0.11;5;3.92;NA
4.96;5;0.15;5;3.63;NA
4.97;5;0.13;5;3.6;NA
