"mean";"median";"sd";"best";"worst";"score"
3.41;3.35;0.28;4.1;2.55;NA
3.51;3.55;0.25;4.1;2.5;NA
3.56;3.55;0.26;4.1;2.05;NA
3.61;3.6;0.26;4.1;2.25;NA
3.66;3.65;0.21;4.1;2.5;NA
3.69;3.65;0.2;4.1;2.3;NA
3.69;3.75;0.26;4.1;2;NA
3.7;3.8;0.27;4.1;1.75;NA
3.73;3.8;0.23;4.1;2.05;NA
3.74;3.8;0.24;4.1;1.8;NA
3.77;3.85;0.21;4.1;2.25;NA
3.78;3.85;0.23;4.1;2.25;NA
3.77;3.85;0.25;4.1;2.3;NA
3.79;3.85;0.23;4.1;2;NA
3.8;3.85;0.24;4.1;2;NA
3.8;3.85;0.25;4.1;2.1;NA
3.81;3.85;0.24;4.1;1.5;NA
3.81;3.85;0.26;4.1;2.25;NA
3.8;3.85;0.25;4.1;2.3;NA
3.81;3.85;0.23;4.1;2.3;NA
3.82;3.9;0.25;4.1;2;NA
3.81;3.9;0.26;4.1;2.5;NA
3.82;3.9;0.24;4.1;2.25;NA
3.82;3.9;0.24;4.1;2;NA
3.82;3.9;0.23;4.1;2.25;NA
3.82;3.9;0.25;4.1;2.25;NA
3.83;3.9;0.24;4.1;2.3;NA
3.82;3.9;0.24;4.1;2.05;NA
3.83;3.9;0.23;4.1;2.5;NA
3.83;3.9;0.24;4.1;2.3;NA
3.83;3.9;0.24;4.1;2.25;NA
3.84;3.9;0.25;4.1;2.25;NA
3.83;3.9;0.25;4.1;2.25;NA
3.84;3.9;0.26;4.1;1.8;NA
3.84;3.9;0.25;4.1;2;NA
3.85;3.9;0.23;4.1;2.25;NA
3.84;3.9;0.23;4.1;2.3;NA
3.84;3.9;0.27;4.1;2;NA
3.83;3.9;0.27;4.1;1.75;NA
3.85;3.9;0.24;4.1;2.25;NA
3.84;3.9;0.25;4.1;2.25;NA
3.84;3.9;0.24;4.15;2.5;NA
3.84;3.9;0.27;4.15;2;NA
3.84;3.9;0.24;4.15;2.25;NA
3.83;3.9;0.28;4.15;1.75;NA
3.83;3.9;0.28;4.15;1.55;NA
3.84;3.9;0.25;4.15;2.25;NA
3.83;3.9;0.27;4.15;1.5;NA
3.83;3.9;0.28;4.15;1.5;NA
3.84;3.9;0.26;4.15;2;NA
3.84;3.9;0.26;4.15;2.25;NA
3.84;3.9;0.25;4.15;2;NA
3.83;3.9;0.28;4.15;2.25;NA
3.85;3.9;0.23;4.15;2;NA
3.85;3.9;0.25;4.15;2;NA
3.84;3.9;0.27;4.15;2.25;NA
3.85;3.9;0.24;4.15;2.5;NA
3.84;3.9;0.26;4.15;2.25;NA
3.83;3.9;0.29;4.15;2;NA
3.84;3.9;0.24;4.15;2.25;NA
3.85;3.9;0.25;4.15;2;NA
3.85;3.9;0.27;4.15;2.25;NA
3.85;3.9;0.24;4.15;2.3;NA
3.84;3.9;0.27;4.15;1.75;NA
3.84;3.9;0.27;4.15;1.3;NA
3.85;3.9;0.25;4.15;2.25;NA
3.85;3.9;0.24;4.15;2.25;NA
3.85;3.9;0.27;4.15;2;NA
3.84;3.9;0.26;4.15;2;NA
3.85;3.9;0.26;4.15;2.05;NA
3.85;3.93;0.26;4.15;1.75;NA
3.85;3.95;0.23;4.15;2.5;NA
3.85;3.95;0.24;4.15;2.25;NA
3.86;3.95;0.25;4.15;2;NA
3.86;3.95;0.26;4.15;2.25;NA
3.85;3.95;0.24;4.15;2.25;NA
3.85;3.95;0.26;4.15;2;NA
3.87;3.95;0.22;4.15;2.25;NA
3.86;3.95;0.25;4.15;2.5;NA
3.85;3.95;0.28;4.15;1.5;NA
3.86;3.95;0.26;4.15;2;NA
3.86;3.95;0.27;4.15;2;NA
3.86;3.95;0.25;4.15;2.25;NA
3.86;3.95;0.27;4.15;2.25;NA
3.86;3.95;0.25;4.15;2.25;NA
3.87;3.95;0.23;4.15;2.25;NA
3.87;3.95;0.24;4.15;2.25;NA
3.86;3.95;0.24;4.15;2.3;NA
3.86;3.95;0.26;4.15;2;NA
3.86;3.95;0.26;4.15;2.25;NA
3.86;3.95;0.27;4.15;2.25;NA
3.87;3.95;0.24;4.15;2.25;NA
3.86;3.95;0.27;4.15;2.3;NA
3.86;3.95;0.23;4.15;2.25;NA
3.85;3.95;0.27;4.15;1.75;NA
3.86;3.95;0.25;4.15;2.25;NA
3.86;3.95;0.27;4.15;2;NA
3.87;3.95;0.24;4.15;2.5;NA
3.87;3.95;0.25;4.15;2.35;NA
3.85;3.95;0.29;4.15;1.75;NA
3.87;3.95;0.21;4.15;2.55;NA
3.85;3.95;0.28;4.15;2.05;NA
3.84;3.95;0.33;4.15;2;NA
3.87;3.95;0.23;4.15;2.5;NA
3.87;3.95;0.26;4.15;1.75;NA
3.87;3.95;0.25;4.15;2.25;NA
3.88;3.95;0.23;4.15;2;NA
3.88;3.95;0.24;4.15;2.05;NA
3.87;3.95;0.26;4.15;2;NA
3.86;3.95;0.29;4.15;1.5;NA
3.86;3.95;0.28;4.15;2.25;NA
3.86;3.95;0.29;4.15;2;NA
3.89;3.95;0.2;4.15;2.55;NA
3.86;3.95;0.28;4.15;1.75;NA
3.86;3.95;0.27;4.15;2.3;NA
3.86;3.95;0.27;4.15;2.25;NA
3.86;3.95;0.27;4.15;2.25;NA
3.86;3.95;0.27;4.15;1.75;NA
3.87;3.95;0.27;4.15;1.75;NA
3.87;3.95;0.26;4.15;2.3;NA
3.87;3.95;0.25;4.15;2.5;NA
3.87;3.95;0.26;4.15;2.25;NA
3.88;3.95;0.25;4.15;2.3;NA
3.88;3.95;0.25;4.15;2.5;NA
3.88;3.95;0.25;4.15;1.5;NA
3.86;3.95;0.29;4.15;1.75;NA
3.87;3.95;0.26;4.15;1.75;NA
3.86;3.95;0.29;4.15;2;NA
3.86;3.95;0.28;4.15;2.25;NA
3.86;3.95;0.28;4.15;1.75;NA
3.87;3.95;0.26;4.15;1.75;NA
3.87;3.95;0.26;4.15;2.05;NA
3.88;3.95;0.24;4.15;2.35;NA
3.86;3.95;0.29;4.15;2;NA
3.88;3.95;0.26;4.15;2.25;NA
3.87;3.95;0.24;4.15;2.25;NA
3.89;3.95;0.22;4.15;2;NA
3.87;3.95;0.24;4.15;2.5;NA
3.88;3.95;0.22;4.15;2.5;NA
3.88;3.95;0.24;4.15;2.5;NA
3.87;3.95;0.26;4.15;2.25;NA
3.87;3.95;0.27;4.15;2.25;NA
3.88;3.95;0.25;4.15;2.5;NA
3.87;3.95;0.29;4.15;2.05;NA
3.87;3.95;0.26;4.15;2.5;NA
3.85;3.95;0.31;4.15;2;NA
3.87;3.95;0.27;4.15;1.75;NA
3.88;3.95;0.21;4.15;2.75;NA
3.87;3.95;0.27;4.15;2;NA
3.88;3.95;0.24;4.15;2.25;NA
3.86;3.95;0.26;4.15;2.5;NA
3.86;3.95;0.28;4.15;2.25;NA
3.87;3.95;0.27;4.15;2;NA
